V_L,V_R,velocity,acc,omega,alpha
0.774200,0.000000,0.000000,0.000000,0.000000,-0.017453
0.952800,0.000000,0.000000,0.000000,0.000000,-6.126106
1.307000,0.000000,0.000000,-26.139000,0.017453,-8.508480
1.726600,0.000000,0.026100,-13.258000,-0.094248,46.259952
1.724400,0.000000,0.000000,13.258000,-0.104720,0.000000
2.137400,0.000000,0.026100,13.258000,-0.179769,-39.828413
2.188800,0.000000,0.065300,0.000000,-0.474730,-18.439404
2.194800,0.000000,0.078400,13.258000,-0.874410,21.502456
2.193400,0.000000,0.104500,13.258000,-0.731293,10.489429
2.193400,0.000000,0.130600,13.258000,-0.799361,-0.279253
2.187400,0.000000,0.182900,26.139000,-0.961676,12.461651
2.193400,0.000000,0.209100,-26.138000,-0.870919,-37.716565
2.194200,0.000000,0.248300,-26.139000,-1.211258,18.675023
2.193400,0.000000,0.235200,26.516000,-1.474803,-12.906710
2.194200,0.000000,0.287500,26.516000,-1.562070,105.095001
2.191400,0.000000,0.313600,-12.881000,-1.347394,-3.420845
2.190800,0.000000,0.313600,-25.762000,-1.464331,-45.413467
2.189400,0.000000,0.392000,-12.881000,-1.832596,-30.787608
2.193400,0.000000,0.392000,26.516000,-2.136283,-70.546208
2.192800,0.000000,0.405100,0.377000,-2.110103,-25.979226
2.192800,0.000000,0.483500,-26.139000,-1.825614,-40.770891
2.307800,0.000000,0.483500,-26.139000,-2.426008,29.906217
2.310600,0.000000,0.522700,26.516000,-2.825688,-56.705747
2.307000,0.000000,0.575000,13.635000,-2.658136,8.717920
2.310000,0.000000,0.548900,-25.762000,-2.944370,-29.068459
2.310000,0.000000,0.653400,13.258000,-3.021165,-15.262904
1.421000,0.000000,0.601100,0.377000,-2.474877,-62.866760
0.770600,1.660000,0.365900,-26.139000,0.605629,-17.479472
2.121000,2.451000,0.392000,0.377000,0.785398,-26.188665
2.448600,2.448600,0.575000,-13.258000,0.457276,72.308991
2.445600,2.445600,0.601100,26.893000,0.181514,77.841685
2.451800,2.451800,0.718800,-25.762000,0.113446,-126.492737
2.443400,2.443400,0.771100,1.131000,0.328122,-166.207704
2.443400,2.443400,0.875600,14.012000,0.298451,-203.618837
1.827000,2.003800,0.927900,26.893000,0.253073,-12.287118
-2.464000,0.000000,0.797200,26.516000,3.639011,114.205619
-2.455600,0.000000,0.588100,13.258000,8.836602,186.401164
-2.447200,-2.447200,0.287500,-26.139000,12.217305,26.241025
-2.448600,0.000000,0.182900,-26.139000,12.664109,-11.632619
-2.442600,-2.442600,-0.026100,0.000000,9.115855,-69.481557
-2.440200,-2.440200,-0.117600,12.881000,4.934046,-160.692464
0.000000,-2.447200,-0.235200,0.000000,1.579523,-67.579149
-2.439600,0.000000,-0.326700,-0.377000,-0.017453,-175.283417
-2.448000,-2.448000,-0.418200,-26.516000,-0.380482,-19.224802
-2.445600,-2.445600,-0.575000,12.504000,-0.431096,26.031586
-1.588800,-2.448000,-0.588100,-0.377000,-1.218240,51.958452
0.000000,-2.456200,-0.679600,-13.635000,-2.780309,-87.205376
0.000000,-1.183000,-0.692600,25.762000,-2.764602,40.971604
0.535800,0.595400,-0.405100,-26.516000,-0.052360,-31.686453
0.000000,2.454000,-0.287500,26.139000,-0.106465,-90.888021
2.443400,2.443400,0.130600,-26.139000,-0.130900,76.986473
2.447200,2.447200,0.143700,13.258000,0.017453,6.065019
2.438800,2.438800,0.169900,-26.139000,0.129154,-39.496801
0.000000,2.444000,0.261300,13.258000,0.083776,-11.135201
2.444800,0.000000,0.444300,-26.139000,0.066323,25.603980
0.000000,2.445600,0.496600,26.893000,0.108210,65.423667
2.445600,2.445600,0.666500,26.516000,0.226893,-118.909282
2.446400,2.446400,0.784100,-12.881000,-0.015708,-5.785766
2.438800,2.438800,0.849500,26.893000,0.034907,174.768544
2.444800,2.444800,0.954000,26.893000,-0.129154,32.436944
2.445600,2.445600,1.084700,0.755000,-0.003491,163.301731
-0.297200,0.000000,0.797200,13.635000,0.466003,-53.677601
-1.956400,0.000000,0.705700,0.377000,1.352630,92.345371
-2.452400,-2.452400,0.457400,26.893000,2.528982,152.463237
-2.448600,-2.448600,0.287500,0.377000,3.279474,-46.286132
-2.438800,-2.438800,0.130600,0.000000,4.045673,-25.028021
-2.444000,-2.444000,-0.026100,26.139000,0.713840,-156.634574
-2.438000,0.000000,-0.143700,26.139000,-0.150098,-24.635322
0.000000,-2.443400,-0.274400,-13.258000,-0.132645,0.165806
-2.436400,-2.436400,-0.379000,26.139000,-0.385718,-93.165675
-2.435800,-2.435800,-0.496600,-0.377000,-0.198968,12.130038
0.000000,-0.413800,-0.483500,25.762000,-0.209440,17.488199
0.000000,0.594400,-0.209100,-26.139000,-0.089012,54.977871
0.000000,2.072400,-0.091400,26.139000,0.951204,-15.053465
0.768200,0.000000,0.000000,26.139000,1.066396,-30.874874
2.448600,2.448600,0.091400,0.377000,0.504400,24.914575
2.448000,2.448000,0.169900,13.258000,0.006981,-15.367624
2.444800,2.444800,0.300500,-25.762000,0.097738,3.874631
2.435800,2.435800,0.405100,0.377000,0.029671,110.104096
2.443400,0.000000,0.561900,26.516000,-0.045379,-17.575466
2.441800,0.000000,0.666500,-12.881000,0.115192,64.036130
2.441000,2.441000,0.731800,26.516000,0.221657,-36.948620
2.443400,2.443400,0.771100,-25.385000,-0.048869,91.027647
