V_L,V_R,velocity,acc,omega,alpha
1.735000,1.387400,0.039200,-26.139000,0.073304,6.553711
2.912400,1.726400,0.156800,13.258000,0.794125,20.193459
2.182800,2.029000,0.209100,26.516000,-0.061087,11.318460
1.495800,1.423200,0.261300,-12.881000,0.132645,57.779125
1.367400,1.126000,0.274400,13.258000,-0.059341,12.322025
1.378800,1.091600,0.274400,0.377000,-0.038397,17.627825
1.087600,0.814800,0.287500,-12.881000,-0.027925,2.242748
1.197800,0.832800,0.274400,-26.139000,-0.006981,3.970624
1.203400,0.787000,0.274400,-12.881000,-0.008727,60.955624
0.943000,0.591000,0.287500,13.258000,-0.040143,-6.091199
3.002000,-1.311200,0.248300,26.516000,-0.865683,-156.617120
1.005000,-1.305200,0.313600,-26.139000,-9.955358,104.108890
2.332000,-1.786800,0.274400,-26.139000,-11.744321,-92.371551
2.386600,-2.299800,0.300500,0.000000,-11.843804,13.814281
2.506400,-0.827200,0.248300,-25.762000,-10.948450,157.027273
1.823800,0.112200,0.248300,26.516000,-6.949901,140.254659
1.205200,2.112200,0.222100,-12.881000,-0.834267,-190.834300
1.413800,1.466800,0.261300,13.258000,0.082030,-1.963495
0.792200,0.849600,0.300500,13.258000,0.174533,-31.276300
1.089800,1.280600,0.261300,13.258000,0.143117,49.410271
-1.777800,2.988600,0.287500,12.881000,4.420919,-160.997897
-2.614400,2.476000,0.313600,-26.139000,9.759881,6.326819
-1.508400,3.085600,0.235200,26.139000,11.952015,-156.896373
-1.667400,2.562400,0.274400,26.516000,11.932816,93.453655
-0.252200,1.905200,0.235200,-12.881000,10.292207,213.986093
0.696600,0.763000,0.261300,13.258000,5.167920,-198.932628
1.168400,0.903000,0.248300,-12.881000,-0.080285,34.854225
1.481200,0.864800,0.248300,13.258000,-0.094248,-63.076199
1.193400,0.577200,0.274400,-12.881000,-0.181514,-29.042279
1.298800,0.427000,0.274400,13.258000,-0.169297,-49.549897
1.865800,1.024800,0.235200,26.516000,-0.275762,-18.640116
1.514200,0.731000,0.261300,-12.881000,-0.228638,70.048789
1.164600,0.248800,0.287500,13.258000,-0.150098,25.228734
1.692000,0.797400,0.248300,26.516000,-0.151844,-44.654249
1.283800,0.524800,0.274400,-12.881000,-0.125664,-19.853120
0.968200,0.355200,0.287500,0.000000,-0.132645,-6.073746
1.499200,0.945800,0.248300,13.258000,-0.078540,28.134708
1.178600,1.044200,0.261300,13.258000,-0.005236,-68.783426
1.348400,1.138200,0.248300,0.377000,0.064577,5.061455
1.270400,0.920400,0.261300,13.258000,0.118682,-34.295720
1.079600,0.869000,0.274400,-26.139000,-0.024435,-4.939282
0.658800,0.488600,0.300500,-26.139000,-0.015708,-67.291169
1.206200,0.983200,0.261300,13.258000,0.031416,30.281462
1.085000,0.900400,0.274400,0.000000,-0.027925,-73.862334
0.871600,0.699800,0.287500,13.258000,0.020944,2.146755
1.116200,0.737000,0.274400,-26.139000,0.141372,-45.806166
1.414600,1.200800,0.248300,26.516000,-0.057596,15.149458
0.891800,0.637600,0.287500,13.258000,-0.020944,-72.815136
0.975600,0.808800,0.274400,13.258000,-0.090757,70.162236
